Date,Copper_Production_Tonnes,Electricity_Generation_MWh
2010-01-01,767008.34,11235226.0
2011-01-01,739759.0,12359000.0
2012-01-01,721445.66,12850308.0
2013-01-01,763805.0,13696000.0
2014-01-01,708259.381349284,14050395.0
2015-01-01,710860.183912,13492668.0
2016-01-01,770597.51,11580874.0
2017-01-01,797265.0,14322529.0
2018-01-01,857847.89,16002120.6
2019-01-01,790712.9,14995862.0
2020-01-01,872465.93,15191050.0
2021-01-01,805714.2,17706000.0
2022-01-01,763287.15,19389041.0
2023-01-01,696381.88,19501000.0
2024-01-01,772969.28,17245000.0
